tbl,Username,text,,VARCHAR(50),
,Usee,text,,VARCHAR(50),
,Userme,text,,VARCHAR(50),
,Userm,text,,VARCHAR(50),
,Usr,text,,VARCHAR(50),
,Us,text,,VARCHAR(50),
,Password,password,,VARCHAR(50),
,Passord,password,,VARCHAR(50),
,Passor,password,,VARCHAR(50),
,Passo,password,,VARCHAR(50),
,Pass,password,,VARCHAR(50),
,Pas,password,,VARCHAR(50),
,Email,email,,VARCHAR(50),
,Emal,email,,VARCHAR(50),
,Ema,email,,VARCHAR(50),
,Em,email,,VARCHAR(50),
,E,email,,VARCHAR(50),
,SiNo,number,,INT(7),
,SNo,number,,INT(7),
,DressColor,color,,VARCHAR(20),
,DColor,color,,VARCHAR(20),
,phone,tel,,INT(15),
,AreaRange,range,,INT(7),
,Area,range,,INT(7),
,AreaB,range,,INT(7),
,Gender,radio,"Gender: Male Female Others",VARCHAR(100),
,Race,radio,"Race: Asian African",VARCHAR(100),
,Continent,radio,"Continent: Asia Africa",VARCHAR(100),
,Dress,select,"Dress: Shirt Pants",VARCHAR(100),
,Stationeries,select,"Stationeries: Pen Pencil Sharpener",VARCHAR(100),
,Station,select,"Station: Pn Pncl Srpnr",VARCHAR(100),
,phn,tel,,INT(15),
,Time,datetime-local,,DATETIME,
,Tim,datetime-local,,DATETIME
